scheme_name,description,eligibility,community,min_age,max_age,max_income,benefits,documents_required,deadline,official_link
PM Kisan Samman Nidhi,Financial support scheme for farmers providing direct income support,Small and marginal farmers with cultivable land registered in their name,All,18,70,0,₹6000 per year in 3 installments of ₹2000 directly to bank account,Aadhaar Card|Land Records (Khatoni)|Bank Passbook|Mobile Number,,https://pmkisan.gov.in
PM Fasal Bima Yojana,Crop insurance scheme to provide financial support to farmers suffering crop loss,All farmers growing notified crops in notified areas,All,18,70,0,Full insurance coverage for crop loss due to natural calamity at 2% premium for Kharif and 1.5% for Rabi,Aadhaar Card|Land Record|Bank Account|Sowing Certificate,,https://pmfby.gov.in
Kisan Credit Card,Credit scheme providing farmers with affordable credit for agricultural needs,All farmers fishermen and self-help groups involved in agriculture,All,18,75,0,Credit up to ₹3 lakh at 4% interest rate per annum,Land Records|Aadhaar Card|Passport Photo|Bank Account,,https://pmkisan.gov.in
PM Kisan Maan Dhan Yojana,Pension scheme for small and marginal farmers,Small and marginal farmers aged 18-40 years with cultivable land up to 2 hectares,All,18,40,0,₹3000 per month pension after age 60,Aadhaar Card|Bank Account|Land Records,,https://pmkmy.gov.in
PM Krishi Sinchai Yojana,Irrigation scheme to ensure water to every field,All farmers with agricultural land,All,18,70,0,Irrigation infrastructure support and subsidy on micro-irrigation equipment,Land Records|Aadhaar Card|Bank Account,,https://pmksy.gov.in
National Scholarship Portal - Pre Matric,Scholarship for students from minority communities studying in Class 1 to 10,Students from minority communities with family income below ₹1 lakh per year,Minority,6,18,100000,₹500 to ₹1100 per month scholarship,Aadhaar Card|Income Certificate|Caste Certificate|Bank Account|Marksheet,2025-10-31,https://scholarships.gov.in
National Scholarship Portal - Post Matric,Scholarship for students from minority communities in Class 11 and above,Students from minority communities with family income below ₹2 lakh per year,Minority,15,35,200000,₹3000 to ₹10000 per year scholarship plus maintenance allowance,Aadhaar Card|Income Certificate|Caste Certificate|Bank Account|Marksheet,2025-10-31,https://scholarships.gov.in
Post Matric Scholarship for SC Students,Scholarship for Scheduled Caste students pursuing post-matriculation education,SC students in Class 11 and above with family income below ₹2.5 lakh,SC,15,35,250000,Full tuition fee reimbursement plus maintenance allowance of ₹230 to ₹1200 per month,Aadhaar Card|Caste Certificate|Income Certificate|Bank Account|Marksheet,2025-11-30,https://scholarships.gov.in
Post Matric Scholarship for ST Students,Scholarship for Scheduled Tribe students pursuing post-matriculation education,ST students in Class 11 and above with family income below ₹2.5 lakh,ST,15,35,250000,Full tuition fee reimbursement plus maintenance allowance,Aadhaar Card|Caste Certificate|Income Certificate|Bank Account|Marksheet,2025-11-30,https://scholarships.gov.in
Central Sector Scholarship,Merit-based scholarship for students in top 20 percentile of Class 12 board,Students who scored in top 20 percentile in Class 12 board exams pursuing regular courses,All,17,25,450000,₹10000 per year for undergraduate and ₹20000 per year for postgraduate,Aadhaar Card|Class 12 Marksheet|College Admission Letter|Bank Account,2025-10-31,https://scholarships.gov.in
PM Vidya Lakshmi Education Loan,Education loan scheme for students admitted to recognized institutions,Students admitted to recognized institutions in India or abroad,All,17,35,0,Education loan up to ₹6.5 lakh without collateral at subsidized interest rates,Aadhaar Card|Admission Letter|Income Proof|Bank Account,,https://vidyalakshmi.co.in
Dr Ambedkar Post Matric Scholarship OBC,Scholarship for OBC and EBC students in higher education,OBC and EBC students in Class 11 and above with family income below ₹2.5 lakh,OBC,15,35,250000,Tuition fee and maintenance allowance,Aadhaar Card|OBC Certificate|Income Certificate|Bank Account|Marksheet,2025-11-30,https://scholarships.gov.in
Beti Bachao Beti Padhao,Scheme to promote welfare and education of girl children,Girl children from 0 to 18 years,All,0,18,0,Education support welfare programs and awareness campaigns for girl child,Birth Certificate|Aadhaar Card|School Enrollment Proof,,https://wcd.nic.in
Sukanya Samriddhi Yojana,Savings scheme for girl child education and marriage,Parents or guardians of girl child below 10 years,All,0,10,0,8.2% interest per annum tax-free savings account for girl child education and marriage,Birth Certificate of Girl Child|Aadhaar Card of Parent|Bank Account,,https://nsiindia.gov.in
PM Ujjwala Yojana,Free LPG gas connection scheme for BPL women,Women above 18 years from BPL households without existing LPG connection,All,18,60,0,Free LPG gas connection plus first refill and stove free of cost,Aadhaar Card|BPL Ration Card|Bank Account|Passport Photo,,https://pmujjwalayojana.com
PM Matru Vandana Yojana,Maternity benefit scheme for pregnant and lactating mothers,Pregnant and lactating mothers for first live birth,All,18,45,0,₹5000 cash benefit in 3 installments for first live birth,Aadhaar Card|Bank Account|MCP Card|Pregnancy Registration Certificate,,https://wcd.nic.in
Mahila Shakti Kendra,Skill development and employment support for rural women,Rural women seeking skill development and employment,All,18,45,0,Skill training employment support and community mobilization,Aadhaar Card|Bank Account,,https://wcd.nic.in
Standup India,Loan scheme for SC ST and women entrepreneurs,SC ST and women entrepreneurs setting up greenfield enterprises,SC,18,65,0,Loans from ₹10 lakh to ₹1 crore for setting up new business,Aadhaar Card|Business Plan|Bank Account|Caste Certificate for SC ST,,https://standupmitra.in
MGNREGS,100 days employment guarantee scheme for rural households,Any adult member of rural household willing to do unskilled manual work,All,18,60,0,100 days guaranteed employment per year at ₹220 to ₹350 per day,Aadhaar Card|Job Card from Gram Panchayat|Bank Account,,https://nrega.nic.in
PM Mudra Yojana Shishu,Micro loan for small businesses up to ₹50000,Small business owners and entrepreneurs starting new ventures,All,18,65,0,Loan up to ₹50000 without collateral for micro enterprises,Aadhaar Card|Business Proof|Bank Account|Passport Photo,,https://mudra.org.in
PM Mudra Yojana Kishore,Micro loan for growing businesses from ₹50000 to ₹5 lakh,Small business owners with existing business needing growth capital,All,18,65,0,Loan from ₹50000 to ₹5 lakh without collateral,Aadhaar Card|Business Proof|Bank Account|Income Statement,,https://mudra.org.in
PM Mudra Yojana Tarun,Micro loan for established businesses from ₹5 lakh to ₹10 lakh,Established small business owners needing expansion capital,All,21,65,0,Loan from ₹5 lakh to ₹10 lakh for business expansion,Aadhaar Card|Business Registration|Bank Account|Income Tax Returns,,https://mudra.org.in
PM Kaushal Vikas Yojana,Free skill training scheme for youth,Youth between 15 to 45 years seeking skill development,All,15,45,0,Free skill training certification and ₹8000 reward on successful certification,Aadhaar Card|Bank Account|Educational Certificate,,https://pmkvyofficial.org
Startup India,Support scheme for DPIIT recognized startups,DPIIT recognized startups with innovative business models,All,21,45,0,Tax exemption for 3 years funding support mentorship and fast-track patent filing,Business Registration|DPIIT Recognition Certificate|Bank Account,,https://startupindia.gov.in
PM SVANidhi,Working capital loan for street vendors,Street vendors with vending certificate or letter of recommendation,All,18,60,0,Working capital loan from ₹10000 to ₹50000 at subsidized interest,Aadhaar Card|Vending Certificate|Bank Account,,https://pmsvanidhi.mohua.gov.in
Ayushman Bharat PMJAY,Health insurance scheme for poor and vulnerable families,Families listed in SECC 2011 database or state scheme beneficiaries,All,0,100,0,Health insurance coverage up to ₹5 lakh per family per year for secondary and tertiary care,Aadhaar Card|Ration Card|PMJAY Eligibility Letter,,https://pmjay.gov.in
Janani Suraksha Yojana,Cash incentive for institutional delivery for BPL pregnant women,Pregnant women from BPL families delivering in government or accredited private hospitals,All,18,45,0,Cash incentive of ₹1400 in rural areas and ₹1000 in urban areas for institutional delivery,Aadhaar Card|BPL Card|Bank Account|MCP Card,,https://nhm.gov.in
PM Surakshit Matritva Abhiyan,Free antenatal checkup scheme for pregnant women,All pregnant women in second and third trimester,All,18,45,0,Free antenatal checkup on 9th of every month at government health facilities,Aadhaar Card|MCP Card,,https://pmsma.nhm.gov.in
Rashtriya Arogya Nidhi,Financial assistance for BPL patients with life-threatening diseases,BPL patients suffering from life-threatening diseases requiring treatment at government hospitals,All,0,100,0,Financial assistance up to ₹15 lakh for treatment of life-threatening diseases,Aadhaar Card|BPL Certificate|Medical Certificate|Bank Account,,https://mohfw.gov.in
PM Awas Yojana Gramin,Free housing scheme for BPL families in rural areas,BPL families in rural areas without pucca house listed in SECC 2011,All,18,65,0,₹1.20 lakh in plain areas and ₹1.30 lakh in hilly areas for house construction,Aadhaar Card|BPL Card|Land Documents|Bank Account,,https://pmayg.nic.in
PM Awas Yojana Urban,Housing scheme with interest subsidy for urban poor,EWS LIG and MIG families in urban areas without pucca house,All,21,65,0,Home loan interest subsidy up to ₹2.67 lakh under Credit Linked Subsidy Scheme,Aadhaar Card|Income Certificate|Bank Account|Property Documents,,https://pmaymis.gov.in
Indira Gandhi National Old Age Pension,Monthly pension for elderly BPL citizens,BPL citizens above 60 years,All,60,100,0,₹200 per month for age 60-79 and ₹500 per month for age 80 and above,Aadhaar Card|Age Proof|BPL Certificate|Bank Account,,https://nsap.nic.in
Atal Pension Yojana,Guaranteed pension scheme for unorganized sector workers,Indian citizens between 18 to 40 years with bank account not covered under any statutory social security scheme,All,18,40,0,Guaranteed pension of ₹1000 to ₹5000 per month after age 60 depending on contribution,Aadhaar Card|Bank Account|Mobile Number,,https://npscra.nsdl.co.in
Senior Citizen Savings Scheme,High interest savings scheme for senior citizens,Indian citizens above 60 years or above 55 years if retired on superannuation,All,55,100,0,8.2% interest per annum paid quarterly with maximum deposit of ₹30 lakh,Aadhaar Card|Age Proof|Bank Account|PAN Card,,https://nsiindia.gov.in
Rashtriya Vayoshri Yojana,Free assistive devices for BPL senior citizens,BPL senior citizens above 60 years with age-related disabilities,All,60,100,0,Free assistive devices like spectacles hearing aids walking sticks wheelchairs and dentures,Aadhaar Card|Age Proof|BPL Certificate|Disability Certificate,,https://socialwelfare.gov.in
National SC ST Hub,Support for SC ST entrepreneurs in government procurement,SC ST entrepreneurs and business owners,SC,21,65,0,Support for participation in government tenders mentorship and capacity building,Aadhaar Card|Business Registration|Caste Certificate|Bank Account,,https://nscshub.udyamimitra.in
Van Dhan Vikas Yojana,Tribal entrepreneurship and livelihood support scheme,Tribal communities involved in collection of minor forest produce,ST,18,60,0,Tribal entrepreneurship support value addition to forest produce and market linkage,Aadhaar Card|Tribal Certificate|Bank Account,,https://trifed.in
Free Coaching Scheme for SC ST,Free coaching for competitive examinations for SC ST students,SC ST students preparing for UPSC SSC banking and other competitive exams,SC,18,30,250000,Free coaching for competitive examinations and stipend of ₹3000 per month,Aadhaar Card|Caste Certificate|Income Certificate|Educational Certificate,,https://socialjustice.gov.in
Kalaignar Magalir Urimai Thittam,Monthly cash transfer for women in Tamil Nadu,Women above 21 years who are head of family with annual income below ₹2.5 lakh in Tamil Nadu,All,21,60,250000,₹1000 per month direct cash transfer to bank account,Aadhaar Card|Ration Card|Bank Account|Income Certificate,,https://tn.gov.in
Pudhumai Penn Scheme,Monthly stipend for girl students in Tamil Nadu,Girls who studied Class 6 to 12 in Tamil Nadu government schools now pursuing higher education,All,18,30,0,₹1000 per month stipend until graduation,School Transfer Certificate|College Admission Proof|Aadhaar Card|Bank Account,,https://tn.gov.in
Moovalur Ramamirtham Ammaiyar Scheme,Financial support for first generation girl students in Tamil Nadu,First generation girl students from Tamil Nadu government schools joining higher education,All,18,25,0,₹1000 per month plus ₹25000 on graduation,School TC|College Admission|Aadhaar Card|Bank Account,,https://tn.gov.in
Innuyir Kaapom Tamil Nadu Health Insurance,Health insurance for Tamil Nadu residents,Tamil Nadu residents with annual family income below ₹72000,All,0,100,72000,Health coverage up to ₹5 lakh per year for secondary and tertiary care,Aadhaar Card|Ration Card|Income Certificate,,https://tn.gov.in
TN Free Laptop Scheme,Free laptop for students entering Class 11 in Tamil Nadu government schools,Students entering Class 11 in Tamil Nadu government schools,All,15,18,0,Free laptop with internet connectivity,School Enrollment Certificate|Aadhaar Card,,https://tn.gov.in
Kalaignar Kanavu Illam Tamil Nadu Housing,Free house construction support for BPL families in Tamil Nadu,BPL families in Tamil Nadu without pucca house,All,21,65,0,Free house construction support through TNSCB,Aadhaar Card|BPL Certificate|Land Documents|Bank Account,,https://tnscb.com
TN Unorganised Workers Welfare Scheme,Welfare scheme for unorganised sector workers in Tamil Nadu,Unorganised sector workers registered with Tamil Nadu Labour Department,All,18,60,0,Accident insurance education aid marriage assistance and death benefit,Aadhaar Card|Labour Department Registration|Bank Account,,https://labour.tn.gov.in
PM Jan Dhan Yojana,Financial inclusion scheme providing bank accounts to unbanked citizens,All Indian citizens without a bank account,All,10,100,0,Zero balance bank account with RuPay debit card ₹2 lakh accident insurance and ₹30000 life cover,Aadhaar Card|Passport Photo,,https://pmjdy.gov.in
Atal Bhujal Yojana,Groundwater management scheme for water stressed areas,Farmers and communities in water stressed areas of 7 states,All,18,70,0,Incentives for water conservation and sustainable groundwater management,Aadhaar Card|Land Records|Bank Account,,https://jalshakti-dowr.gov.in
PM Garib Kalyan Anna Yojana,Free food grain scheme for poor families,Families covered under National Food Security Act,All,0,100,0,5 kg free food grain per person per month,Ration Card|Aadhaar Card,,https://dfpd.gov.in
One Nation One Ration Card,Portability of ration card across India,All NFSA beneficiaries with ration card,All,0,100,0,Access to subsidized food grains from any fair price shop across India,Aadhaar Card|Ration Card,,https://dfpd.gov.in
PM Poshan Shakti Nirman,Mid-day meal scheme for school children,Students enrolled in government and government-aided schools from Class 1 to 8,All,6,14,0,Free nutritious mid-day meal every school day,School Enrollment Certificate,,https://pmposhan.education.gov.in
Kisan Credit Card,Credit scheme providing affordable credit to farmers for agricultural needs,All farmers fishermen and self-help groups involved in agriculture,All,18,75,0,Credit up to Rs.3 lakh at 4% interest rate per annum with flexible repayment,Land Records|Aadhaar Card|Passport Photo|Bank Account,,https://pmkisan.gov.in
PM Matru Vandana Yojana,Maternity benefit scheme providing cash incentive for first live birth,Pregnant and lactating mothers for first live birth,All,18,45,0,Rs.5000 cash benefit in 3 installments for first live birth,Aadhaar Card|Bank Account|MCP Card|Pregnancy Registration Certificate,,https://wcd.nic.in
Startup India,Support scheme for DPIIT recognized startups with innovative business models,DPIIT recognized startups with innovative business models,All,21,45,0,Tax exemption for 3 years funding support mentorship and fast-track patent filing,Business Registration|DPIIT Recognition Certificate|Bank Account,,https://startupindia.gov.in
PM Garib Kalyan Anna Yojana,Free food grain scheme for poor families under National Food Security Act,Families covered under National Food Security Act,All,0,100,0,5 kg free food grain per person per month,Ration Card|Aadhaar Card,,https://dfpd.gov.in
Rashtriya Vayoshri Yojana,Free assistive devices for BPL senior citizens with age-related disabilities,BPL senior citizens above 60 years with age-related disabilities,All,60,100,0,Free spectacles hearing aids walking sticks wheelchairs and dentures,Aadhaar Card|Age Proof|BPL Certificate|Disability Certificate,,https://socialwelfare.gov.in
Senior Citizen Savings Scheme,High interest savings scheme for senior citizens above 60 years,Indian citizens above 60 years or above 55 years if retired on superannuation,All,55,100,0,8.2% interest per annum paid quarterly with maximum deposit of Rs.30 lakh,Aadhaar Card|Age Proof|Bank Account|PAN Card,,https://nsiindia.gov.in
PM Vaya Vandana Yojana,Pension scheme for senior citizens via LIC with guaranteed returns,Senior citizens above 60 years,All,60,80,0,Guaranteed 7.4% return on investment with monthly pension payout,Aadhaar Card|Age Proof|Bank Account|PAN Card,,https://licindia.in
Free Coaching Scheme SC ST,Free coaching for competitive examinations for SC ST students,SC ST students preparing for UPSC SSC banking and other competitive exams,SC,18,30,250000,Free coaching for competitive examinations and stipend of Rs.3000 per month,Aadhaar Card|Caste Certificate|Income Certificate|Educational Certificate,,https://socialjustice.gov.in
Van Dhan Vikas Yojana,Tribal entrepreneurship and livelihood support for forest produce collectors,Tribal communities involved in collection of minor forest produce,ST,18,60,0,Tribal entrepreneurship support value addition to forest produce and market linkage,Aadhaar Card|Tribal Certificate|Bank Account,,https://trifed.in
National SC ST Hub,Support for SC ST entrepreneurs in government procurement and tenders,SC ST entrepreneurs and business owners,SC,21,65,0,Support for government tenders mentorship and capacity building,Aadhaar Card|Business Registration|Caste Certificate|Bank Account,,https://nscshub.udyamimitra.in
PM Poshan Shakti Nirman,Mid-day meal scheme providing free nutritious meals to school children,Students enrolled in government and government-aided schools from Class 1 to 8,All,6,14,0,Free nutritious mid-day meal every school day,School Enrollment Certificate,,https://pmposhan.education.gov.in
One Nation One Ration Card,Portability of ration card allowing access to subsidized food across India,All NFSA beneficiaries with ration card,All,0,100,0,Access to subsidized food grains from any fair price shop across India,Aadhaar Card|Ration Card,,https://dfpd.gov.in
Moovalur Ramamirtham Ammaiyar Scheme,Financial support for first generation girl students from Tamil Nadu government schools,First generation girl students from Tamil Nadu government schools joining higher education,All,18,25,0,Rs.1000 per month plus Rs.25000 on graduation,School TC|College Admission|Aadhaar Card|Bank Account,,https://tn.gov.in
TN Unorganised Workers Welfare Scheme,Welfare scheme for unorganised sector workers in Tamil Nadu,Unorganised sector workers registered with Tamil Nadu Labour Department,All,18,60,0,Accident insurance education aid marriage assistance and death benefit,Aadhaar Card|Labour Department Registration|Bank Account,,https://labour.tn.gov.in
Innuyir Kaapom Tamil Nadu Health Insurance,Health insurance for Tamil Nadu residents with low income,Tamil Nadu residents with annual family income below Rs.72000,All,0,100,72000,Health coverage up to Rs.5 lakh per year for secondary and tertiary care,Aadhaar Card|Ration Card|Income Certificate,,https://tn.gov.in
TN Free Laptop Scheme,Free laptop for students entering Class 11 in Tamil Nadu government schools,Students entering Class 11 in Tamil Nadu government schools,All,15,18,0,Free laptop with internet connectivity,School Enrollment Certificate|Aadhaar Card,,https://tn.gov.in
Kalaignar Kanavu Illam Tamil Nadu Housing,Free house construction support for BPL families in Tamil Nadu,BPL families in Tamil Nadu without pucca house,All,21,65,0,Free house construction support through TNSCB,Aadhaar Card|BPL Certificate|Land Documents|Bank Account,,https://tnscb.com
PM Awas Yojana Urban,Housing scheme with interest subsidy for urban poor families,EWS LIG and MIG families in urban areas without pucca house,All,21,65,0,Home loan interest subsidy up to Rs.2.67 lakh under Credit Linked Subsidy Scheme,Aadhaar Card|Income Certificate|Bank Account|Property Documents,,https://pmaymis.gov.in
Rashtriya Arogya Nidhi,Financial assistance for BPL patients with life-threatening diseases,BPL patients suffering from life-threatening diseases requiring treatment at government hospitals,All,0,100,0,Financial assistance up to Rs.15 lakh for treatment of life-threatening diseases,Aadhaar Card|BPL Certificate|Medical Certificate|Bank Account,,https://mohfw.gov.in
PM Surakshit Matritva Abhiyan,Free antenatal checkup scheme for pregnant women on 9th of every month,All pregnant women in second and third trimester,All,18,45,0,Free antenatal checkup on 9th of every month at government health facilities,Aadhaar Card|MCP Card,,https://pmsma.nhm.gov.in
